,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-08 00:00:10,4,31,7,602,30585,2394,11,4,36815,550,13.2%,41.7%,44.5%
Value,2020-05-08 00:01:46,3,31,7,5901,30585,2565,14,10,36863,582,11.0%,41.7%,44.5%
Value,2020-05-08 00:03:55,3,31,7,229,30585,2498,10,6,36849,558,11.1%,41.7%,44.5%
Value,2020-05-08 00:28:09,3,24,5,59,133535,2048,3,4,36951,497,9.9%,41.8%,45.5%
Value,2020-05-08 00:29:42,7,22,5,514,133535,1905,6,15,36978,527,10.0%,41.8%,45.5%
Value,2020-05-08 00:31:15,7,22,5,4597,133535,1976,7,18,36939,479,7.4%,41.8%,44.5%
Value,2020-05-08 00:32:44,6,22,5,339,133535,1895,6,15,36944,472,5.6%,41.8%,44.5%
Value,2020-05-08 00:34:15,4,22,5,70,133535,1880,4,12,36949,465,6.0%,41.8%,44.5%
Value,2020-05-08 00:35:47,3,22,5,54,133535,1861,8,6,36967,471,8.1%,41.8%,44.5%
Value,2020-05-08 00:37:22,5,22,5,7017,133535,1961,7,5,36954,435,19.6%,41.8%,45.5%
Value,2020-05-08 00:38:55,4,22,5,208,133535,1894,4,6,36965,432,7.9%,41.8%,45.5%
Value,2020-05-08 00:40:26,5,22,5,57,133535,1880,6,8,36970,431,9.4%,41.8%,45.5%
Value,2020-05-08 00:41:58,3,22,4,720,133535,1872,7,6,36969,425,8.4%,41.8%,44.5%
Value,2020-05-08 00:43:35,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,16.1%,41.8%,44.6%
Value,2020-05-08 00:45:08,4,22,4,97,133535,1844,3,3,36999,411,6.3%,41.8%,44.6%
Value,2020-05-08 00:46:40,6,22,4,314,133535,1506,2,2,37002,398,5.3%,41.8%,44.6%
Value,2020-05-08 00:48:16,4,22,4,69,133535,1357,12,3,37031,413,5.3%,41.8%,44.6%
Value,2020-05-08 00:49:50,7,22,4,160,133535,1337,21,5,37060,433,7.6%,41.8%,44.5%
Value,2020-05-08 00:51:22,7,22,4,638,133535,1338,17,3,37061,426,7.5%,41.8%,44.5%
Value,2020-05-08 00:52:54,5,22,4,242,133535,1295,26,1,37075,417,6.2%,41.8%,44.5%
Value,2020-05-08 00:54:30,5,22,4,138,133535,1279,20,3,37099,414,5.9%,41.8%,44.5%
Value,2020-05-08 00:56:05,6,22,4,125,133535,1259,13,5,37096,410,8.4%,41.8%,44.5%
Value,2020-05-08 00:57:36,3,22,4,72,133535,1246,18,4,37115,401,7.6%,41.8%,44.6%
Value,2020-05-08 00:59:09,6,22,4,529,133535,1240,19,1,37140,415,6.5%,41.8%,44.6%
Value,2020-05-08 01:00:41,7,22,5,176,133535,1136,15,1,37141,412,6.5%,41.8%,44.5%
Value,2020-05-08 01:02:16,4,22,4,56,133535,1120,13,2,37151,422,5.0%,41.9%,44.5%
Value,2020-05-08 01:03:52,4,22,5,85,133535,1036,23,20,37175,432,8.5%,41.9%,44.5%
Value,2020-05-08 01:05:28,4,22,5,96,133535,1036,19,18,37162,408,6.0%,41.8%,44.5%
Value,2020-05-08 01:07:06,3,22,5,227,133535,987,15,12,37158,404,11.7%,41.8%,45.5%
Value,2020-05-08 01:08:45,3,22,5,44,133535,910,21,3,37188,404,8.9%,41.8%,45.6%
Value,2020-05-08 01:10:21,4,22,5,115,133535,911,11,5,37194,391,4.3%,41.8%,45.6%
Value,2020-05-08 01:11:54,4,22,5,48,41498,533,18,6,37204,396,5.0%,41.8%,44.6%
Value,2020-05-08 01:13:28,6,22,5,68,41498,532,19,6,37202,384,5.4%,41.8%,44.6%
Value,2020-05-08 01:15:01,4,22,5,32,41498,503,17,8,37196,373,3.3%,41.8%,44.6%
Value,2020-05-08 01:16:39,4,19,4,44,41498,494,18,11,37220,388,9.9%,41.8%,44.6%
Value,2020-05-08 01:18:15,3,19,4,48,41498,481,15,5,37225,375,7.0%,41.8%,44.6%
Value,2020-05-08 01:19:47,3,19,4,49,41498,473,15,6,37239,382,6.2%,41.7%,44.6%
Value,2020-05-08 01:21:19,4,19,4,1318,41498,512,7,4,37225,366,5.3%,41.7%,44.6%
Value,2020-05-08 01:22:52,4,19,5,60,41498,482,17,4,37250,370,9.9%,41.8%,44.6%
Value,2020-05-08 01:24:24,4,19,5,53,41498,480,10,4,37235,351,7.9%,41.8%,44.6%
Value,2020-05-08 01:26:15,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,8.0%,41.8%,44.6%
Value,2020-05-08 01:27:47,7,19,5,38,41498,480,20,5,37258,334,5.3%,41.8%,44.6%
Value,2020-05-08 01:29:20,6,19,5,23,41498,394,11,5,37263,334,6.7%,41.8%,44.6%
Value,2020-05-08 01:30:51,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.7%,41.8%,44.6%
Value,2020-05-08 01:32:23,6,19,5,21,41498,276,7,5,37321,359,17.7%,41.8%,45.6%
Value,2020-05-08 01:33:58,6,19,5,90,41498,277,19,5,37339,362,11.1%,41.8%,45.6%
Value,2020-05-08 01:35:33,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.6%,41.8%,45.6%
Value,2020-05-08 01:37:04,7,19,5,328,7686,182,16,6,37357,345,6.5%,41.8%,44.6%
Value,2020-05-08 01:38:36,8,19,5,34,7686,176,17,6,37349,331,5.7%,41.8%,44.6%
Value,2020-05-08 01:40:07,6,19,5,36,7686,174,17,6,37355,335,7.0%,41.8%,44.6%
Value,2020-05-08 01:41:41,6,19,5,35,7686,162,19,6,37369,331,9.1%,41.8%,44.6%
Value,2020-05-08 01:43:11,6,19,5,29,7686,158,19,5,37390,344,7.5%,41.8%,44.6%
