,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-25 17:05:40,7,18,6,991,33952,944,13,14,791,792,5.4%,42.8%,49.2%
Value,2020-04-25 17:07:06,7,18,6,1998,33952,979,13,7,783,775,7.7%,42.8%,48.4%
Value,2020-04-25 17:08:29,8,18,6,1086,33952,998,12,13,807,807,5.5%,42.8%,48.4%
Value,2020-04-25 17:09:53,7,18,6,2389,33952,1069,16,13,796,791,5.1%,42.8%,48.4%
Value,2020-04-25 17:11:18,8,18,6,1989,33952,928,21,13,792,782,5.5%,42.8%,48.4%
Value,2020-04-25 17:12:40,6,18,6,1745,33952,963,9,13,743,745,6.3%,42.8%,48.4%
Value,2020-04-25 17:14:02,8,18,6,1514,33952,978,11,8,733,728,3.6%,42.8%,48.4%
Value,2020-04-25 17:15:28,7,18,6,2156,33952,1002,23,6,765,761,5.5%,42.9%,48.4%
Value,2020-04-25 17:16:52,7,18,6,1390,33952,1039,23,6,813,808,6.4%,42.8%,48.4%
Value,2020-04-25 17:18:16,10,18,6,1799,33952,1064,61,17,838,793,8.2%,42.8%,48.4%
Value,2020-04-25 17:19:43,7,18,6,874,33952,1044,10,16,756,760,4.7%,42.8%,48.4%
Value,2020-04-25 17:21:05,6,18,6,1766,33952,1055,14,9,813,810,6.0%,42.8%,48.4%
Value,2020-04-25 17:22:28,13,18,6,8106,33952,1180,23,15,891,879,8.1%,42.8%,48.4%
Value,2020-04-25 17:23:52,10,18,7,6490,33952,1393,55,23,807,779,5.8%,42.8%,48.4%
Value,2020-04-25 17:25:17,9,18,7,4480,33952,1431,14,16,773,775,7.5%,42.8%,48.4%
Value,2020-04-25 17:26:42,8,18,7,4362,33952,1565,17,13,775,772,6.9%,42.8%,49.3%
Value,2020-04-25 17:28:05,7,18,7,1566,33952,1542,13,8,800,794,4.5%,42.8%,49.3%
Value,2020-04-25 17:29:29,9,18,7,2533,33952,1572,17,13,823,820,8.0%,42.8%,49.3%
Value,2020-04-25 17:30:53,7,18,7,2327,33952,1603,15,14,842,843,5.9%,42.8%,49.3%
Value,2020-04-25 17:32:15,7,18,7,1482,33952,1622,19,14,760,760,4.2%,42.8%,49.3%
Value,2020-04-25 17:33:38,8,18,7,1832,33952,1626,19,8,771,761,8.7%,42.8%,49.3%
Value,2020-04-25 17:35:00,9,18,7,2124,21760,1581,25,11,848,837,5.6%,42.8%,49.3%
Value,2020-04-25 17:36:23,7,18,7,1811,21760,1597,21,9,807,800,5.6%,42.8%,49.3%
Value,2020-04-25 17:37:45,8,18,7,1623,21760,1639,22,9,790,783,5.0%,42.8%,49.3%
Value,2020-04-25 17:39:05,7,18,7,1264,21760,1650,15,6,758,748,4.1%,42.9%,49.3%
Value,2020-04-25 17:40:26,8,18,7,1643,21760,1671,13,26,787,802,5.3%,42.8%,49.3%
Value,2020-04-25 17:41:50,7,18,7,1405,21760,1710,21,19,777,778,7.0%,42.8%,48.4%
Value,2020-04-25 17:43:12,10,18,7,2815,21760,1755,32,26,925,922,5.5%,42.8%,48.4%
Value,2020-04-25 17:44:36,8,18,7,1889,21760,1752,27,19,886,879,5.4%,42.8%,48.4%
Value,2020-04-25 17:45:57,6,18,7,882,21760,1773,21,14,857,854,5.2%,42.8%,48.4%
Value,2020-04-25 17:47:20,5.0%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,7.9%,42.8%,48.4%
Value,2020-04-25 17:48:48,8,18,7,4013,21760,1937,60,18,830,792,4.9%,42.8%,48.4%
Value,2020-04-25 17:50:32,11,18,8,5195,21760,2022,32,17,753,744,7.5%,42.8%,48.4%
Value,2020-04-25 17:51:56,11,18,8,4299,21760,2149,28,19,756,754,5.4%,42.8%,49.3%
Value,2020-04-25 17:53:19,11,18,8,3913,21760,2228,21,19,771,773,4.4%,42.8%,49.3%
Value,2020-04-25 17:54:40,7,18,8,952,21760,2244,17,27,821,836,7.0%,42.8%,49.3%
Value,2020-04-25 17:56:04,7,18,8,1432,21760,2271,20,24,784,792,7.8%,42.8%,49.3%
Value,2020-04-25 17:57:28,8,18,8,9375,47268,2422,20,21,796,801,4.9%,42.8%,49.3%
Value,2020-04-25 17:58:50,7,18,8,5460,47268,2642,24,11,788,780,3.7%,42.9%,49.3%
Value,2020-04-25 18:00:12,6,18,8,1268,47268,2590,27,6,776,759,7.4%,42.8%,49.3%
Value,2020-04-25 18:01:34,7,18,8,952,47268,2595,31,10,781,769,9.5%,42.8%,48.4%
Value,2020-04-25 18:02:57,6,18,8,753,47268,2577,22,9,772,765,5.6%,42.8%,48.4%
Value,2020-04-25 18:04:20,8,18,8,416,47268,2553,31,8,846,831,3.4%,42.8%,48.4%
Value,2020-04-25 18:05:43,7,18,8,5862,47268,2698,34,8,825,811,7.7%,42.9%,48.4%
Value,2020-04-25 18:07:05,7,18,8,2268,47268,2738,17,8,775,771,7.5%,42.8%,48.4%
Value,2020-04-25 18:08:26,7,18,8,1976,47268,2793,33,7,788,778,5.9%,42.8%,48.4%
Value,2020-04-25 18:09:47,9,18,8,1414,47268,2765,38,14,911,895,7.1%,42.8%,48.4%
Value,2020-04-25 18:11:09,12,18,8,1220,47268,2743,30,14,857,848,5.6%,42.8%,48.4%
Value,2020-04-25 18:12:31,10,18,8,1862,47268,2751,27,21,851,849,5.0%,42.8%,48.4%
Value,2020-04-25 18:13:55,7,18,8,802,47268,2733,22,12,809,803,11.3%,42.8%,48.4%
Value,2020-04-25 18:15:18,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.4%,42.8%,48.4%
Value,2020-04-25 18:16:44,7,18,8,610,47268,2672,30,13,838,826,12.0%,42.8%,49.3%
Value,2020-04-25 18:18:12,6,18,8,368,47268,2656,26,14,792,786,5.0%,42.8%,49.3%
Value,2020-04-25 18:19:34,6,18,8,212,47268,2751,36,9,804,789,3.5%,42.8%,49.3%
Value,2020-04-25 18:20:55,6,18,8,586,47268,2705,21,12,767,763,5.5%,42.8%,49.3%
